County,Candidate Name,Party,Election Day Votes,Mail Votes,Provisional Votes,Total Votes,% of Vote
ARMSTRONG,"WILLIAMS, ROBERT  M",DEM,0,0,0,0,0.00
BUTLER,"WILLIAMS, ROBERT  M",DEM,0,0,0,0,0.00
CAMBRIA,"WILLIAMS, ROBERT  M",DEM,0,0,0,0,0.00
CAMERON,"WILLIAMS, ROBERT  M",DEM,0,0,0,0,0.00
CENTRE,"WILLIAMS, ROBERT  M",DEM,0,0,0,0,0.00
CLARION,"WILLIAMS, ROBERT  M",DEM,0,0,0,0,0.00
CLEARFIELD,"WILLIAMS, ROBERT  M",DEM,0,0,0,0,0.00
ELK,"WILLIAMS, ROBERT  M",DEM,0,0,0,0,0.00
FOREST,"WILLIAMS, ROBERT  M",DEM,0,0,0,0,0.00
INDIANA,"WILLIAMS, ROBERT  M",DEM,0,0,0,0,0.00
JEFFERSON,"WILLIAMS, ROBERT  M",DEM,0,0,0,0,0.00
McKEAN,"WILLIAMS, ROBERT  M",DEM,0,0,0,0,0.00
VENANGO,"WILLIAMS, ROBERT  M",DEM,0,0,0,0,0.00
WARREN,"WILLIAMS, ROBERT  M",DEM,0,0,0,0,0.00
ARMSTRONG,"THOMPSON, GLENN  W",REP,0,0,0,0,0.00
BUTLER,"THOMPSON, GLENN  W",REP,0,0,0,0,0.00
CAMBRIA,"THOMPSON, GLENN  W",REP,0,0,0,0,0.00
CAMERON,"THOMPSON, GLENN  W",REP,0,0,0,0,0.00
CENTRE,"THOMPSON, GLENN  W",REP,0,0,0,0,0.00
CLARION,"THOMPSON, GLENN  W",REP,0,0,0,0,0.00
CLEARFIELD,"THOMPSON, GLENN  W",REP,0,0,0,0,0.00
ELK,"THOMPSON, GLENN  W",REP,0,0,0,0,0.00
FOREST,"THOMPSON, GLENN  W",REP,0,0,0,0,0.00
INDIANA,"THOMPSON, GLENN  W",REP,0,0,0,0,0.00
JEFFERSON,"THOMPSON, GLENN  W",REP,0,0,0,0,0.00
McKEAN,"THOMPSON, GLENN  W",REP,0,0,0,0,0.00
VENANGO,"THOMPSON, GLENN  W",REP,0,0,0,0,0.00
WARREN,"THOMPSON, GLENN  W",REP,0,0,0,0,0.00
