County,Candidate Name,Party,Election Day Votes,Mail Votes,Provisional Votes,Total Votes,% of Vote
BUTLER,"GNIBUS, KRISTY   MARIE",DEM,0,0,0,0,0.00
CRAWFORD,"GNIBUS, KRISTY   MARIE",DEM,0,0,0,0,0.00
ERIE,"GNIBUS, KRISTY   MARIE",DEM,0,0,0,0,0.00
LAWRENCE,"GNIBUS, KRISTY   MARIE",DEM,0,0,0,0,0.00
MERCER,"GNIBUS, KRISTY   MARIE",DEM,0,0,0,0,0.00
BUTLER,"KELLY, GEORGE  J",REP,0,0,0,0,0.00
CRAWFORD,"KELLY, GEORGE  J",REP,0,0,0,0,0.00
ERIE,"KELLY, GEORGE  J",REP,0,0,0,0,0.00
LAWRENCE,"KELLY, GEORGE  J",REP,0,0,0,0,0.00
MERCER,"KELLY, GEORGE  J",REP,0,0,0,0,0.00
