County,Candidate Name,Party,Election Day Votes,Mail Votes,Provisional Votes,Total Votes,% of Vote
COLUMBIA,"SIEGEL, MICHELLE  LYNN",DEM,0,0,0,0,0.00
LUZERNE,"SIEGEL, MICHELLE  LYNN",DEM,0,0,0,0,0.00
MONTOUR,"SIEGEL, MICHELLE  LYNN",DEM,0,0,0,0,0.00
NORTHUMBERLAND,"SIEGEL, MICHELLE  LYNN",DEM,0,0,0,0,0.00
SNYDER,"SIEGEL, MICHELLE  LYNN",DEM,0,0,0,0,0.00
COLUMBIA,"GORDNER, JOHN  R",REP,0,0,0,0,0.00
LUZERNE,"GORDNER, JOHN  R",REP,0,0,0,0,0.00
MONTOUR,"GORDNER, JOHN  R",REP,0,0,0,0,0.00
NORTHUMBERLAND,"GORDNER, JOHN  R",REP,0,0,0,0,0.00
SNYDER,"GORDNER, JOHN  R",REP,0,0,0,0,0.00
