County,Candidate Name,Party,Votes,% of Vote
BRADFORD,"PICKETT, TINA",REP,"7,274",38.61
CENTRE,"PICKETT, TINA",REP,"2,189",15.18
CLINTON,"PICKETT, TINA",REP,"1,747",16.92
JUNIATA,"PICKETT, TINA",REP,"1,154",13.43
LYCOMING,"PICKETT, TINA",REP,"4,688",12.25
MIFFLIN,"PICKETT, TINA",REP,"1,993",14.62
NORTHUMBERLAND,"PICKETT, TINA",REP,"2,620",14.71
PERRY,"PICKETT, TINA",REP,"2,531",14.21
POTTER,"PICKETT, TINA",REP,"1,207",16.46
SNYDER,"PICKETT, TINA",REP,"1,437",11.55
SULLIVAN,"PICKETT, TINA",REP,986,44.06
SUSQUEHANNA,"PICKETT, TINA",REP,"4,181",30.63
TIOGA,"PICKETT, TINA",REP,"3,461",22.31
UNION,"PICKETT, TINA",REP,"1,602",13.24
WYOMING,"PICKETT, TINA",REP,"2,888",30.94
BRADFORD,"HOFFMAN, DONALD  E",REP,"1,701",9.03
CENTRE,"HOFFMAN, DONALD  E",REP,"1,996",13.84
CLINTON,"HOFFMAN, DONALD  E",REP,"1,742",16.87
JUNIATA,"HOFFMAN, DONALD  E",REP,"1,611",18.75
LYCOMING,"HOFFMAN, DONALD  E",REP,"4,787",12.51
MIFFLIN,"HOFFMAN, DONALD  E",REP,"1,962",14.39
NORTHUMBERLAND,"HOFFMAN, DONALD  E",REP,"2,929",16.45
PERRY,"HOFFMAN, DONALD  E",REP,"2,930",16.45
POTTER,"HOFFMAN, DONALD  E",REP,"1,342",18.30
SNYDER,"HOFFMAN, DONALD  E",REP,"2,252",18.10
SULLIVAN,"HOFFMAN, DONALD  E",REP,223,9.96
SUSQUEHANNA,"HOFFMAN, DONALD  E",REP,"1,215",8.90
TIOGA,"HOFFMAN, DONALD  E",REP,"2,513",16.20
UNION,"HOFFMAN, DONALD  E",REP,"2,069",17.10
WYOMING,"HOFFMAN, DONALD  E",REP,"1,006",10.78
BRADFORD,"SIDES, CAROL  D.",REP,"1,479",7.85
CENTRE,"SIDES, CAROL  D.",REP,"2,068",14.34
CLINTON,"SIDES, CAROL  D.",REP,"1,413",13.68
JUNIATA,"SIDES, CAROL  D.",REP,782,9.10
LYCOMING,"SIDES, CAROL  D.",REP,"8,095",21.16
MIFFLIN,"SIDES, CAROL  D.",REP,"1,524",11.18
NORTHUMBERLAND,"SIDES, CAROL  D.",REP,"1,999",11.23
PERRY,"SIDES, CAROL  D.",REP,"1,759",9.88
POTTER,"SIDES, CAROL  D.",REP,821,11.19
SNYDER,"SIDES, CAROL  D.",REP,"1,133",9.10
SULLIVAN,"SIDES, CAROL  D.",REP,231,10.32
SUSQUEHANNA,"SIDES, CAROL  D.",REP,"1,069",7.83
TIOGA,"SIDES, CAROL  D.",REP,"1,786",11.52
UNION,"SIDES, CAROL  D.",REP,"1,332",11.01
WYOMING,"SIDES, CAROL  D.",REP,961,10.30
BRADFORD,"HUFFMAN, DAVID   A",REP,"1,575",8.36
CENTRE,"HUFFMAN, DAVID   A",REP,"1,441",9.99
CLINTON,"HUFFMAN, DAVID   A",REP,"1,363",13.20
JUNIATA,"HUFFMAN, DAVID   A",REP,"1,036",12.06
LYCOMING,"HUFFMAN, DAVID   A",REP,"8,010",20.94
MIFFLIN,"HUFFMAN, DAVID   A",REP,"1,604",11.76
NORTHUMBERLAND,"HUFFMAN, DAVID   A",REP,"2,324",13.05
PERRY,"HUFFMAN, DAVID   A",REP,"2,056",11.55
POTTER,"HUFFMAN, DAVID   A",REP,"1,040",14.18
SNYDER,"HUFFMAN, DAVID   A",REP,"1,494",12.01
SULLIVAN,"HUFFMAN, DAVID   A",REP,243,10.86
