County,Candidate Name,Party,Election Day Votes,Mail Votes,Provisional Votes,Total Votes,% of Vote
BRADFORD,"GRIFFIN, LEE",DEM,0,0,0,0,0.00
CENTRE,"GRIFFIN, LEE",DEM,0,0,0,0,0.00
CLINTON,"GRIFFIN, LEE",DEM,0,0,0,0,0.00
JUNIATA,"GRIFFIN, LEE",DEM,0,0,0,0,0.00
LYCOMING,"GRIFFIN, LEE",DEM,0,0,0,0,0.00
MIFFLIN,"GRIFFIN, LEE",DEM,0,0,0,0,0.00
NORTHUMBERLAND,"GRIFFIN, LEE",DEM,0,0,0,0,0.00
PERRY,"GRIFFIN, LEE",DEM,0,0,0,0,0.00
POTTER,"GRIFFIN, LEE",DEM,0,0,0,0,0.00
SNYDER,"GRIFFIN, LEE",DEM,0,0,0,0,0.00
SULLIVAN,"GRIFFIN, LEE",DEM,0,0,0,0,0.00
SUSQUEHANNA,"GRIFFIN, LEE",DEM,0,0,0,0,0.00
TIOGA,"GRIFFIN, LEE",DEM,0,0,0,0,0.00
UNION,"GRIFFIN, LEE",DEM,0,0,0,0,0.00
WYOMING,"GRIFFIN, LEE",DEM,0,0,0,0,0.00
BRADFORD,"KELLER, FREDERICK  B",REP,0,0,0,0,0.00
CENTRE,"KELLER, FREDERICK  B",REP,0,0,0,0,0.00
CLINTON,"KELLER, FREDERICK  B",REP,0,0,0,0,0.00
JUNIATA,"KELLER, FREDERICK  B",REP,0,0,0,0,0.00
LYCOMING,"KELLER, FREDERICK  B",REP,0,0,0,0,0.00
MIFFLIN,"KELLER, FREDERICK  B",REP,0,0,0,0,0.00
NORTHUMBERLAND,"KELLER, FREDERICK  B",REP,0,0,0,0,0.00
PERRY,"KELLER, FREDERICK  B",REP,0,0,0,0,0.00
POTTER,"KELLER, FREDERICK  B",REP,0,0,0,0,0.00
SNYDER,"KELLER, FREDERICK  B",REP,0,0,0,0,0.00
SULLIVAN,"KELLER, FREDERICK  B",REP,0,0,0,0,0.00
SUSQUEHANNA,"KELLER, FREDERICK  B",REP,0,0,0,0,0.00
TIOGA,"KELLER, FREDERICK  B",REP,0,0,0,0,0.00
UNION,"KELLER, FREDERICK  B",REP,0,0,0,0,0.00
WYOMING,"KELLER, FREDERICK  B",REP,0,0,0,0,0.00
