County,Candidate Name,Party,Votes,% of Vote
BERKS,"PASQUARIELLO, ROCHELLE  MARIE",REP,"4,121",8.11
CARBON,"PASQUARIELLO, ROCHELLE  MARIE",REP,"3,165",21.07
COLUMBIA,"PASQUARIELLO, ROCHELLE  MARIE",REP,"1,634",10.14
LEBANON,"PASQUARIELLO, ROCHELLE  MARIE",REP,"4,188",9.87
LUZERNE,"PASQUARIELLO, ROCHELLE  MARIE",REP,"1,390",10.45
MONTOUR,"PASQUARIELLO, ROCHELLE  MARIE",REP,490,10.30
NORTHUMBERLAND,"PASQUARIELLO, ROCHELLE  MARIE",REP,540,9.30
SCHUYLKILL,"PASQUARIELLO, ROCHELLE  MARIE",REP,"4,573",10.03
BERKS,"SHECKTOR, ANDREW",REP,"5,230",10.30
CARBON,"SHECKTOR, ANDREW",REP,"1,729",11.51
COLUMBIA,"SHECKTOR, ANDREW",REP,"2,353",14.61
LEBANON,"SHECKTOR, ANDREW",REP,"4,043",9.52
LUZERNE,"SHECKTOR, ANDREW",REP,"1,869",14.05
MONTOUR,"SHECKTOR, ANDREW",REP,599,12.59
NORTHUMBERLAND,"SHECKTOR, ANDREW",REP,532,9.16
SCHUYLKILL,"SHECKTOR, ANDREW",REP,"4,082",8.96
BERKS,"PENMAN, JANINE  M",REP,"3,771",7.42
CARBON,"PENMAN, JANINE  M",REP,"1,420",9.45
COLUMBIA,"PENMAN, JANINE  M",REP,"1,774",11.01
LEBANON,"PENMAN, JANINE  M",REP,"3,661",8.62
LUZERNE,"PENMAN, JANINE  M",REP,"1,370",10.30
MONTOUR,"PENMAN, JANINE  M",REP,546,11.48
NORTHUMBERLAND,"PENMAN, JANINE  M",REP,530,9.13
SCHUYLKILL,"PENMAN, JANINE  M",REP,"3,218",7.06
BERKS,"REBER, JOHN  K",REP,"9,666",19.03
CARBON,"REBER, JOHN  K",REP,"1,467",9.77
COLUMBIA,"REBER, JOHN  K",REP,"1,529",9.49
LEBANON,"REBER, JOHN  K",REP,"5,918",13.94
LUZERNE,"REBER, JOHN  K",REP,"1,390",10.45
MONTOUR,"REBER, JOHN  K",REP,528,11.10
NORTHUMBERLAND,"REBER, JOHN  K",REP,506,8.72
SCHUYLKILL,"REBER, JOHN  K",REP,"4,308",9.45
BERKS,"HALCOVAGE, GEORGE  FRANCIS",REP,"3,902",7.68
CARBON,"HALCOVAGE, GEORGE  FRANCIS",REP,"1,603",10.67
COLUMBIA,"HALCOVAGE, GEORGE  FRANCIS",REP,"1,623",10.08
